DeviceName,DeviceDateTime,BatteryStatus,CommId,Latitude,Longitude
0-4408436,13/10/2022 11:54:00,LOW,0-4408436,43.07321,5.97626
0-4408436,13/10/2022 11:49:00,LOW,0-4408436,43.07482,5.97783
0-4408436,13/10/2022 11:44:00,LOW,0-4408436,43.07467,5.97759
0-4408436,13/10/2022 11:39:00,LOW,0-4408436,43.07456,5.97727
0-4408436,13/10/2022 11:34:00,LOW,0-4408436,43.07447,5.97699
0-4408436,13/10/2022 11:29:00,LOW,0-4408436,43.07439,5.97678
0-4408436,13/10/2022 11:24:00,LOW,0-4408436,43.07431,5.97656
0-4408436,13/10/2022 11:19:00,LOW,0-4408436,43.07418,5.97639
0-4408436,13/10/2022 11:14:00,LOW,0-4408436,43.07404,5.97626
0-4408436,13/10/2022 11:09:00,LOW,0-4408436,43.07389,5.97618
0-4408436,13/10/2022 11:04:00,LOW,0-4408436,43.07378,5.97615
0-4408436,13/10/2022 10:59:00,LOW,0-4408436,43.0736,5.97607
0-4408436,13/10/2022 10:54:00,LOW,0-4408436,43.07347,5.97603
0-4408436,13/10/2022 10:49:00,LOW,0-4408436,43.0734,5.97594
0-4408436,13/10/2022 10:44:00,LOW,0-4408436,43.07331,5.97588
0-4408436,13/10/2022 10:39:00,LOW,0-4408436,43.07323,5.97583
0-4408436,13/10/2022 10:34:00,LOW,0-4408436,43.07321,5.97577
0-4408436,13/10/2022 10:29:00,LOW,0-4408436,43.07314,5.97573
0-4408436,13/10/2022 10:24:00,LOW,0-4408436,43.0731,5.9757
0-4408436,13/10/2022 10:19:00,LOW,0-4408436,43.07311,5.97562
0-4408436,13/10/2022 10:14:00,LOW,0-4408436,43.07311,5.97553
0-4408436,13/10/2022 10:09:00,LOW,0-4408436,43.07309,5.97555
0-4408436,13/10/2022 10:04:00,LOW,0-4408436,43.07304,5.97564
0-4408436,13/10/2022 9:59:00,LOW,0-4408436,43.07299,5.97579
0-4408436,13/10/2022 9:54:00,LOW,0-4408436,43.07301,5.97596
0-4408436,13/10/2022 9:49:00,LOW,0-4408436,43.07298,5.9762
0-4408436,13/10/2022 9:44:00,LOW,0-4408436,43.07302,5.97648
0-4408436,13/10/2022 9:39:00,LOW,0-4408436,43.07307,5.97676
0-4408436,13/10/2022 9:34:00,LOW,0-4408436,43.07313,5.97706
0-4408436,13/10/2022 9:29:00,LOW,0-4408436,43.07325,5.9774
0-4408436,13/10/2022 9:24:00,LOW,0-4408436,43.07339,5.97774
0-4408436,13/10/2022 9:19:00,LOW,0-4408436,43.07359,5.97806
0-4408436,13/10/2022 9:14:00,LOW,0-4408436,43.07376,5.97836
0-4408436,13/10/2022 9:09:00,LOW,0-4408436,43.07398,5.97864
0-4408436,13/10/2022 9:04:00,LOW,0-4408436,43.07417,5.97897
0-4408436,13/10/2022 8:59:00,LOW,0-4408436,43.0745,5.97918
0-4408436,13/10/2022 8:54:00,LOW,0-4408436,43.07478,5.97946
0-4408436,13/10/2022 8:49:00,LOW,0-4408436,43.07505,5.97976
0-4408436,13/10/2022 8:44:00,LOW,0-4408436,43.07534,5.98006
0-4408436,13/10/2022 8:39:00,LOW,0-4408436,43.07565,5.9804
0-4408436,13/10/2022 8:34:00,LOW,0-4408436,43.07592,5.98079
0-4408436,13/10/2022 8:29:00,LOW,0-4408436,43.07623,5.98118
0-4408436,13/10/2022 8:24:00,LOW,0-4408436,43.07658,5.9815
0-4408436,13/10/2022 8:19:00,LOW,0-4408436,43.07688,5.98188
0-4408436,13/10/2022 8:14:00,LOW,0-4408436,43.07717,5.98229
0-4408436,13/10/2022 8:09:00,LOW,0-4408436,43.07748,5.98272
0-4408436,13/10/2022 8:04:00,LOW,0-4408436,43.07766,5.98313
0-4408436,13/10/2022 7:59:00,LOW,0-4408436,43.07796,5.98472
0-4408436,13/10/2022 7:54:00,LOW,0-4408436,43.07993,5.99948
0-4408436,13/10/2022 7:49:00,LOW,0-4408436,43.0792,5.99948
0-4408436,13/10/2022 7:44:00,LOW,0-4408436,43.08043,5.98111
0-4408436,13/10/2022 7:39:00,LOW,0-4408436,43.08335,5.96262
0-4408436,13/10/2022 7:34:00,LOW,0-4408436,43.08559,5.94416
0-4408436,13/10/2022 7:29:00,LOW,0-4408436,43.08766,5.92687
0-4408436,13/10/2022 7:24:00,LOW,0-4408436,43.09642,5.91813
0-4408436,13/10/2022 7:19:00,LOW,0-4408436,43.10533,5.9085
0-4408436,13/10/2022 7:14:00,LOW,0-4408436,43.1062,5.89558
0-4408436,13/10/2022 7:09:00,LOW,0-4408436,43.10439,5.88601
0-4408436,13/10/2022 7:04:00,LOW,0-4408436,43.10526,5.88586
