DeviceName,DeviceDateTime,BatteryStatus,CommId,Latitude,Longitude
0-4409666,10/13/2022 9:41:00,GOOD,0-4409666,42.97699,5.75606
0-4409666,10/13/2022 9:36:00,GOOD,0-4409666,42.97797,5.75722
0-4409666,10/13/2022 9:31:00,GOOD,0-4409666,42.97796,5.75842
0-4409666,10/13/2022 9:26:00,GOOD,0-4409666,42.97796,5.75965
0-4409666,10/13/2022 9:21:00,GOOD,0-4409666,42.97795,5.76078
0-4409666,10/13/2022 9:16:00,GOOD,0-4409666,42.97795,5.76216
0-4409666,10/13/2022 9:11:00,GOOD,0-4409666,42.97792,5.7634
0-4409666,10/13/2022 9:06:00,GOOD,0-4409666,42.97791,5.76467
0-4409666,10/13/2022 9:01:00,GOOD,0-4409666,42.97789,5.76589
0-4409666,10/13/2022 8:56:00,GOOD,0-4409666,42.97786,5.76709
0-4409666,10/13/2022 8:51:00,GOOD,0-4409666,42.97781,5.76832
0-4409666,10/13/2022 8:46:00,GOOD,0-4409666,42.97773,5.76954
0-4409666,10/13/2022 8:41:00,GOOD,0-4409666,42.97765,5.7708
0-4409666,10/13/2022 8:36:00,GOOD,0-4409666,42.97761,5.772
0-4409666,10/13/2022 8:31:00,GOOD,0-4409666,42.97751,5.77327
0-4409666,10/13/2022 8:26:00,GOOD,0-4409666,42.97749,5.77454
0-4409666,10/13/2022 8:21:00,GOOD,0-4409666,42.97743,5.77574
0-4409666,10/13/2022 8:16:00,GOOD,0-4409666,42.97742,5.77718
0-4409666,10/13/2022 8:11:00,GOOD,0-4409666,42.97736,5.77836
0-4409666,10/13/2022 8:06:00,GOOD,0-4409666,42.97736,5.7796
0-4409666,10/13/2022 8:01:00,GOOD,0-4409666,42.97734,5.78085
0-4409666,10/13/2022 7:56:00,GOOD,0-4409666,42.97734,5.78211
0-4409666,10/13/2022 7:51:00,GOOD,0-4409666,42.9773,5.78331
0-4409666,10/13/2022 7:46:00,GOOD,0-4409666,42.97729,5.78469
0-4409666,10/13/2022 7:41:00,GOOD,0-4409666,42.97734,5.78591
