DeviceName,DeviceDateTime,BatteryStatus,CommId,Latitude,Longitude
0-3152052,13/10/2022 12:08:00,GOOD,0-3152052,43.08763,5.99675
0-3152052,13/10/2022 12:04:00,GOOD,0-3152052,43.08728,5.99635
0-3152052,13/10/2022 11:58:00,GOOD,0-3152052,43.08698,5.9959
0-3152052,13/10/2022 11:53:00,GOOD,0-3152052,43.08661,5.99538
0-3152052,13/10/2022 11:48:00,GOOD,0-3152052,43.0862,5.99495
0-3152052,13/10/2022 11:43:00,GOOD,0-3152052,43.08574,5.99459
0-3152052,13/10/2022 11:38:00,GOOD,0-3152052,43.08534,5.99418
0-3152052,13/10/2022 11:33:00,GOOD,0-3152052,43.08497,5.99386
0-3152052,13/10/2022 11:28:00,GOOD,0-3152052,43.08457,5.99366
0-3152052,13/10/2022 11:23:00,GOOD,0-3152052,43.08423,5.99357
0-3152052,13/10/2022 11:19:00,GOOD,0-3152052,43.08385,5.99341
0-3152052,13/10/2022 11:14:00,GOOD,0-3152052,43.0835,5.99332
0-3152052,13/10/2022 11:09:00,GOOD,0-3152052,43.08311,5.99321
0-3152052,13/10/2022 11:04:00,GOOD,0-3152052,43.08248,5.99326
0-3152052,13/10/2022 10:59:00,GOOD,0-3152052,43.08226,5.993
0-3152052,13/10/2022 10:54:00,GOOD,0-3152052,43.08183,5.99287
0-3152052,13/10/2022 10:49:00,GOOD,0-3152052,43.08144,5.99272
0-3152052,13/10/2022 10:44:00,GOOD,0-3152052,43.08123,5.99263
0-3152052,13/10/2022 10:39:00,GOOD,0-3152052,43.08105,5.99257
0-3152052,13/10/2022 10:34:00,GOOD,0-3152052,43.08081,5.99248
0-3152052,13/10/2022 10:29:00,GOOD,0-3152052,43.08051,5.99244
0-3152052,13/10/2022 10:24:00,GOOD,0-3152052,43.08009,5.9924
0-3152052,13/10/2022 10:19:00,GOOD,0-3152052,43.07993,5.99236
0-3152052,13/10/2022 10:14:00,GOOD,0-3152052,43.07983,5.99233
0-3152052,13/10/2022 10:09:00,GOOD,0-3152052,43.07962,5.99251
0-3152052,13/10/2022 10:04:00,GOOD,0-3152052,43.07936,5.99266
0-3152052,13/10/2022 9:59:00,GOOD,0-3152052,43.07925,5.9927
0-3152052,13/10/2022 9:54:00,GOOD,0-3152052,43.0791,5.99272
0-3152052,13/10/2022 9:49:00,GOOD,0-3152052,43.0789,5.99289
0-3152052,13/10/2022 9:44:00,GOOD,0-3152052,43.07866,5.99304
0-3152052,13/10/2022 9:39:00,GOOD,0-3152052,43.07858,5.99321
0-3152052,13/10/2022 9:34:00,GOOD,0-3152052,43.07862,5.99341
0-3152052,13/10/2022 9:29:00,GOOD,0-3152052,43.07866,5.99362
0-3152052,13/10/2022 9:24:00,GOOD,0-3152052,43.07874,5.99386
0-3152052,13/10/2022 9:19:00,GOOD,0-3152052,43.0788,5.99407
0-3152052,13/10/2022 9:14:00,GOOD,0-3152052,43.07881,5.99431
0-3152052,13/10/2022 9:09:00,GOOD,0-3152052,43.0788,5.99461
0-3152052,13/10/2022 9:04:00,GOOD,0-3152052,43.07881,5.99482
0-3152052,13/10/2022 8:59:00,GOOD,0-3152052,43.07857,5.99506
0-3152052,13/10/2022 8:54:00,GOOD,0-3152052,43.07854,5.99525
0-3152052,13/10/2022 8:49:00,GOOD,0-3152052,43.07862,5.99551
0-3152052,13/10/2022 8:44:00,GOOD,0-3152052,43.07877,5.99587
0-3152052,13/10/2022 8:39:00,GOOD,0-3152052,43.07909,5.99613
0-3152052,13/10/2022 8:34:00,GOOD,0-3152052,43.07916,5.99637
0-3152052,13/10/2022 8:29:00,GOOD,0-3152052,43.07928,5.99665
0-3152052,13/10/2022 8:24:00,GOOD,0-3152052,43.07941,5.9969
0-3152052,13/10/2022 8:19:00,GOOD,0-3152052,43.07952,5.99718
0-3152052,13/10/2022 8:14:00,GOOD,0-3152052,43.07961,5.99766
0-3152052,13/10/2022 8:09:00,GOOD,0-3152052,43.07971,5.99821
0-3152052,13/10/2022 8:04:00,GOOD,0-3152052,43.07986,5.99869
0-3152052,13/10/2022 7:59:00,GOOD,0-3152052,43.07996,5.99933
0-3152052,13/10/2022 7:54:00,GOOD,0-3152052,43.08015,5.99963
0-3152052,13/10/2022 7:49:00,GOOD,0-3152052,43.07928,5.99965
0-3152052,13/10/2022 7:44:00,GOOD,0-3152052,43.08068,5.98285
0-3152052,13/10/2022 7:39:00,GOOD,0-3152052,43.08365,5.96296
0-3152052,13/10/2022 7:34:00,GOOD,0-3152052,43.08569,5.94448
0-3152052,13/10/2022 7:29:00,GOOD,0-3152052,43.08827,5.92751
0-3152052,13/10/2022 7:24:00,GOOD,0-3152052,43.09583,5.91846
0-3152052,13/10/2022 7:19:00,GOOD,0-3152052,43.10504,5.90899
0-3152052,13/10/2022 7:14:00,GOOD,0-3152052,43.10615,5.89605
0-3152052,13/10/2022 7:09:00,GOOD,0-3152052,43.10427,5.88644
0-3153368,13/10/2022 12:43:00,GOOD,0-3153368,43.08873,5.99851
0-3153368,13/10/2022 12:38:00,GOOD,0-3153368,43.08544,5.99313
0-3153368,13/10/2022 12:33:00,GOOD,0-3153368,43.08516,5.9927
0-3153368,13/10/2022 12:28:00,GOOD,0-3153368,43.08485,5.9924
0-3153368,13/10/2022 12:23:00,GOOD,0-3153368,43.08456,5.99212
0-3153368,13/10/2022 12:18:00,GOOD,0-3153368,43.08426,5.99184
0-3153368,13/10/2022 12:13:00,GOOD,0-3153368,43.08398,5.99156
0-3153368,13/10/2022 12:09:00,GOOD,0-3153368,43.08373,5.99135
0-3153368,13/10/2022 12:03:00,GOOD,0-3153368,43.08342,5.99111
0-3153368,13/10/2022 11:58:00,GOOD,0-3153368,43.08315,5.99094
0-3153368,13/10/2022 11:53:00,GOOD,0-3153368,43.08293,5.99081
0-3153368,13/10/2022 11:48:00,GOOD,0-3153368,43.08268,5.99068
0-3153368,13/10/2022 11:43:00,GOOD,0-3153368,43.08248,5.99055
0-3153368,13/10/2022 11:38:00,GOOD,0-3153368,43.08226,5.99049
0-3153368,13/10/2022 11:34:00,GOOD,0-3153368,43.08206,5.99042
0-3153368,13/10/2022 11:29:00,GOOD,0-3153368,43.08183,5.9904
0-3153368,13/10/2022 11:24:00,GOOD,0-3153368,43.0816,5.9904
0-3153368,13/10/2022 11:19:00,GOOD,0-3153368,43.08138,5.9904
0-3153368,13/10/2022 11:14:00,GOOD,0-3153368,43.08116,5.99047
0-3153368,13/10/2022 11:09:00,GOOD,0-3153368,43.08097,5.99051
0-3153368,13/10/2022 11:04:00,GOOD,0-3153368,43.08076,5.99057
0-3153368,13/10/2022 10:59:00,GOOD,0-3153368,43.0806,5.99064
0-3153368,13/10/2022 10:54:00,GOOD,0-3153368,43.08047,5.99075
0-3153368,13/10/2022 10:49:00,GOOD,0-3153368,43.0803,5.99077
0-3153368,13/10/2022 10:44:00,GOOD,0-3153368,43.08013,5.99086
0-3153368,13/10/2022 10:39:00,GOOD,0-3153368,43.0799,5.99096
0-3153368,13/10/2022 10:34:00,GOOD,0-3153368,43.07969,5.99105
0-3153368,13/10/2022 10:29:00,GOOD,0-3153368,43.07954,5.99115
0-3153368,13/10/2022 10:24:00,GOOD,0-3153368,43.07943,5.99124
0-3153368,13/10/2022 10:19:00,GOOD,0-3153368,43.07932,5.99135
0-3153368,13/10/2022 10:14:00,GOOD,0-3153368,43.07924,5.99152
0-3153368,13/10/2022 10:09:00,GOOD,0-3153368,43.07919,5.99165
0-3153368,13/10/2022 10:04:00,GOOD,0-3153368,43.07906,5.99191
0-3153368,13/10/2022 9:59:00,GOOD,0-3153368,43.07893,5.99218
0-3153368,13/10/2022 9:54:00,GOOD,0-3153368,43.07877,5.9924
0-3153368,13/10/2022 9:49:00,GOOD,0-3153368,43.07862,5.99259
0-3153368,13/10/2022 9:44:00,GOOD,0-3153368,43.07855,5.99287
0-3153368,13/10/2022 9:39:00,GOOD,0-3153368,43.07854,5.99315
0-3153368,13/10/2022 9:34:00,GOOD,0-3153368,43.07857,5.99336
0-3153368,13/10/2022 9:29:00,GOOD,0-3153368,43.07858,5.9936
0-3153368,13/10/2022 9:24:00,GOOD,0-3153368,43.07866,5.99386
0-3153368,13/10/2022 9:19:00,GOOD,0-3153368,43.07877,5.99416
0-3153368,13/10/2022 9:14:00,GOOD,0-3153368,43.07884,5.99442
0-3153368,13/10/2022 9:09:00,GOOD,0-3153368,43.07891,5.99465
0-3153368,13/10/2022 9:04:00,GOOD,0-3153368,43.07904,5.99487
0-3153368,13/10/2022 8:59:00,GOOD,0-3153368,43.07915,5.99525
